,text,text_clean,tokens,tokens_back_to_text,tokens2,topics
0,"So it's going to be pretty, pretty, mostly clinical and epidemiological.",go pretty pretty mostly clinical epidemiological,"[go, pretty, pretty, mostly, clinical, epidemiological]",go pretty pretty mostly clinical epidemiological,"['pretty', 'pretty', 'mostly', 'clinical', 'epidemiological']",9
1,"We have a lot of things to cover, but these are some of the main publication.",lot thing cover main publication,"[lot, thing, cover, main, publication]",lot thing cover main publication,"['cover', 'main', 'publication']",10
2,"So the first thing was the data published in The New England Journal about the Moderna vaccine in older patients that, you know influenza and other vaccines are not as influenza vaccines and other vaccines are usually not as effective in older groups, so it's important to take a look at how the new vaccines that we are developing against COVID-19 work in older folks.",first thing datum publish new england journal moderna vaccine old patient know influenza vaccine influenza vaccine vaccine usually effective old group important take look new vaccine develop covid work old folk,"[first, thing, datum, publish, new, england, journal, moderna, vaccine, old, patient, know, influenza, vaccine, influenza, vaccine, vaccine, usually, effective, old, group, important, take, look, new, vaccine, develop, covid, work, old, folk]",first thing datum publish new england journal moderna vaccine old patient know influenza vaccine influenza vaccine vaccine usually effective old group important take look new vaccine develop covid work old folk,"['first', 'datum', 'publish', 'new', 'england', 'journal', 'moderna', 'vaccine', 'old', 'patient', 'influenza', 'vaccine', 'influenza', 'vaccine', 'vaccine', 'usually', 'effective', 'old', 'group', 'important', 'take', 'look', 'new', 'vaccine', 'develop', 'covid', 'work', 'old', 'folk']",6
3,This publication by Moderna was was welcomed.,publication moderna welcome,"[publication, moderna, welcome]",publication moderna welcome,"['publication', 'moderna', 'welcome']",10
4,They actually look at the data for patients 56 and 70 and also over 71.,actually look datum patient also,"[actually, look, datum, patient, also]",actually look datum patient also,"['look', 'datum', 'patient']",5
5,"And they were testing the two doses in their two protocols, the 25 microgram and a 100 microgram.",test two dose two protocol microgram microgram,"[test, two, dose, two, protocol, microgram, microgram]",test two dose two protocol microgram microgram,"['test', 'two', 'dose', 'two', 'protocol', 'microgram', 'microgram']",5
6,And I can tell you right right off the bat that they're gonna use probably the old the higher dose for elderly patients.,tell right right bat go use probably old high dose elderly patient,"[tell, right, right, bat, go, use, probably, old, high, dose, elderly, patient]",tell right right bat go use probably old high dose elderly patient,"['tell', 'right', 'right', 'bat', 'use', 'probably', 'old', 'high', 'dose', 'elderly', 'patient']",2
7,So the 100 microgram dose and we're going to show some of the results today.,microgram dose go show result today,"[microgram, dose, go, show, result, today]",microgram dose go show result today,"['microgram', 'dose', 'show', 'result', 'today']",2
8,This is the basically the protocol.,basically protocol,"[basically, protocol]",basically protocol,"['basically', 'protocol']",8
9,They have four groups.,four group,"[four, group]",four group,"['four', 'group']",2
10,"10 in each group, 10 patients in each group.",group patient group,"[group, patient, group]",group patient group,"['group', 'patient', 'group']",2
11,"This is an early early study, 20 in that group of 56 to 70 and 20 in the more than than 71.",early early study group,"[early, early, study, group]",early early study group,"['early', 'early', 'study', 'group']",0
12,And they were pretty balanced regarding gender and ethnicity.,pretty balanced regard gender ethnicity,"[pretty, balanced, regard, gender, ethnicity]",pretty balanced regard gender ethnicity,"['pretty', 'balanced', 'regard', 'gender', 'ethnicity']",9
13,"But mostly, mostly, were actually whites are not too many minorities represented in this study, which is an issue with some of these vaccine trials.",mostly mostly actually white many minority represent study issue vaccine trial,"[mostly, mostly, actually, white, many, minority, represent, study, issue, vaccine, trial]",mostly mostly actually white many minority represent study issue vaccine trial,"['mostly', 'mostly', 'white', 'many', 'minority', 'represent', 'study', 'issue', 'vaccine', 'trial']",7
14,The adverse event.,adverse event,"[adverse, event]",adverse event,"['adverse', 'event']",1
15,It's something that we're used to see.,something use see,"[something, use, see]",something use see,"['something', 'use']",1
16,"The first vaccination, which is the column on the left, doesn't produce that much in the way of adverse events.",first vaccination column left produce much way adverse event,"[first, vaccination, column, left, produce, much, way, adverse, event]",first vaccination column left produce much way adverse event,"['first', 'vaccination', 'column', 'left', 'produce', 'way', 'adverse', 'event']",1
17,"Some local expected local discomfort, but the second dose is definitely much more reactive.",local expect local discomfort second dose definitely much reactive,"[local, expect, local, discomfort, second, dose, definitely, much, reactive]",local expect local discomfort second dose definitely much reactive,"['local', 'expect', 'local', 'discomfort', 'second', 'dose', 'definitely', 'reactive']",0
18,"Janick and this is across the board, younger and older people.",janick across board young old people,"[janick, across, board, young, old, people]",janick across board young old people,"['janick', 'across', 'board', 'young', 'old', 'people']",10
19,"But it's it's also present in the elderly, so it's important.",also present elderly important,"[also, present, elderly, important]",also present elderly important,"['present', 'elderly', 'important']",10
20,"And I think all of the vaccines that we have seen are associated with significant react allergenicity, which is bad for the patient.",think vaccine see associate significant react allergenicity bad patient,"[think, vaccine, see, associate, significant, react, allergenicity, bad, patient]",think vaccine see associate significant react allergenicity bad patient,"['vaccine', 'associate', 'significant', 'react', 'allergenicity', 'bad', 'patient']",6
21,"But it's good if you take it in into the if you interpret these as an immunological reaction to the vaccine, so it's not an inert material.",good take interpret immunological reaction vaccine inert material,"[good, take, interpret, immunological, reaction, vaccine, inert, material]",good take interpret immunological reaction vaccine inert material,"['good', 'take', 'interpret', 'immunological', 'reaction', 'vaccine', 'inert', 'material']",8
22,"It's actually something that you get some low grade fever, fatigue, soreness in the area of injection, but Hopefully, this will correlate with immune response and talking about immune response that one of the most important markers are the neutralizing antibodies.",actually something get low grade fever fatigue soreness area injection hopefully correlate immune response talk immune response one important marker neutralize antibody,"[actually, something, get, low, grade, fever, fatigue, soreness, area, injection, hopefully, correlate, immune, response, talk, immune, response, one, important, marker, neutralize, antibody]",actually something get low grade fever fatigue soreness area injection hopefully correlate immune response talk immune response one important marker neutralize antibody,"['something', 'get', 'low', 'grade', 'fever', 'fatigue', 'soreness', 'area', 'injection', 'hopefully', 'correlate', 'immune', 'response', 'talk', 'immune', 'response', 'important', 'marker', 'neutralize', 'antibody']",10
24,"We have the 2 25 doses in the 50 to 70 more than 71 the 100 mg, and you can see that the basically the levels of neutralizing antibody, especially the high dose the 100 mg, produces the same levels of antibody as younger patient.",dose mg see basically level neutralize antibody especially high dose mg produce level antibody young patient,"[dose, mg, see, basically, level, neutralize, antibody, especially, high, dose, mg, produce, level, antibody, young, patient]",dose mg see basically level neutralize antibody especially high dose mg produce level antibody young patient,"['dose', 'mg', 'basically', 'level', 'neutralize', 'antibody', 'especially', 'high', 'dose', 'mg', 'produce', 'level', 'antibody', 'young', 'patient']",2
25,"This is the column of 18 to 55 from the previous published study, so you can see that the levels of antibodies and the neutralizing antibodies was very similar when you use the 100 microgram in in any age, essentially 56 to 70 and 71.",column previous publish study see level antibody neutralize antibody similar use microgram age essentially,"[column, previous, publish, study, see, level, antibody, neutralize, antibody, similar, use, microgram, age, essentially]",column previous publish study see level antibody neutralize antibody similar use microgram age essentially,"['column', 'previous', 'publish', 'study', 'level', 'antibody', 'neutralize', 'antibody', 'similar', 'use', 'microgram', 'age', 'essentially']",1
26,So that was good news that this vaccine seems to be immunogenic even in in older in older patients.,good news vaccine seem immunogenic even old old patient,"[good, news, vaccine, seem, immunogenic, even, old, old, patient]",good news vaccine seem immunogenic even old old patient,"['good', 'news', 'vaccine', 'seem', 'immunogenic', 'even', 'old', 'old', 'patient']",6
27,"You send these FRNT, which is one of the assays when you use with the real virus PRNT you can see there's a slight decrease in the neutralizing antibody between the younger group 56 to 70 and more than 71 but still pretty decent levels which are comparable with with what we've seen in the younger population.",send frnt one assay use real virus prnt see slight decrease neutralizing antibody young group still pretty decent level comparable see young population,"[send, frnt, one, assay, use, real, virus, prnt, see, slight, decrease, neutralizing, antibody, young, group, still, pretty, decent, level, comparable, see, young, population]",send frnt one assay use real virus prnt see slight decrease neutralizing antibody young group still pretty decent level comparable see young population,"['send', 'frnt', 'assay', 'use', 'real', 'virus', 'prnt', 'slight', 'decrease', 'neutralizing', 'antibody', 'young', 'group', 'still', 'pretty', 'decent', 'level', 'comparable', 'young', 'population']",2
28,So So that's That's the good news about these Moderna vaccine that it seems to be immunogenic for elderly folks.,good news moderna vaccine seem immunogenic elderly folk,"[good, news, moderna, vaccine, seem, immunogenic, elderly, folk]",good news moderna vaccine seem immunogenic elderly folk,"['good', 'news', 'moderna', 'vaccine', 'seem', 'immunogenic', 'elderly', 'folk']",10
29,"And the same thing happens with the T-cell response, the cellular immunity.",thing happen cell response cellular immunity,"[thing, happen, cell, response, cellular, immunity]",thing happen cell response cellular immunity,"['happen', 'cell', 'response', 'cellular', 'immunity']",3
30,Definitely the low dose didn't mount almost any response.,definitely low dose mount almost response,"[definitely, low, dose, mount, almost, response]",definitely low dose mount almost response,"['definitely', 'low', 'dose', 'mount', 'almost', 'response']",4
31,This is the T CD4 Th1 response.,cd th response,"[cd, th, response]",cd th response,"['cd', 'response']",3
32,"But you can see that there's an important cell mediated immunity response in the higher dose for both Group 56 to 70 and more than 71 so that these results are the one that indicate that we're going to probably use the high dose or or the high goes where we use Moderna, especially for early patients.",see important cell mediate immunity response high dose group result one indicate go probably use high dose high go use moderna especially early patient,"[see, important, cell, mediate, immunity, response, high, dose, group, result, one, indicate, go, probably, use, high, dose, high, go, use, moderna, especially, early, patient]",see important cell mediate immunity response high dose group result one indicate go probably use high dose high go use moderna especially early patient,"['important', 'cell', 'mediate', 'immunity', 'response', 'high', 'dose', 'group', 'result', 'indicate', 'probably', 'use', 'high', 'dose', 'high', 'use', 'moderna', 'especially', 'early', 'patient']",2
33,"And no, no, Th2 two, which is the the the one that we don't want the type of response that may be associated with pulmonary inflammation.",th two one want type response may associate pulmonary inflammation,"[th, two, one, want, type, response, may, associate, pulmonary, inflammation]",th two one want type response may associate pulmonary inflammation,"['two', 'want', 'type', 'response', 'may', 'associate', 'pulmonary', 'inflammation']",2
34,"It's basically not present with any of the doses in any of the age group, so that was also good news.",basically present dose age group also good news,"[basically, present, dose, age, group, also, good, news]",basically present dose age group also good news,"['basically', 'present', 'dose', 'age', 'group', 'good', 'news']",4
35,And and there was one publication on hydroxychloroquine.,one publication hydroxychloroquine,"[one, publication, hydroxychloroquine]",one publication hydroxychloroquine,"['publication', 'hydroxychloroquine']",11
36,I think the only the only area that is still somewhat debatable on hydroxychloroquine is we can use it as pre-exposure prophylaxis.,think area still somewhat debatable hydroxychloroquine use pre exposure prophylaxis,"[think, area, still, somewhat, debatable, hydroxychloroquine, use, pre, exposure, prophylaxis]",think area still somewhat debatable hydroxychloroquine use pre exposure prophylaxis,"['area', 'still', 'somewhat', 'debatable', 'hydroxychloroquine', 'use', 'pre', 'exposure', 'prophylaxis']",1
